,date,total_graph_big_buy_percentage,total_graph_big_sale_percentage,finance_sector_big_buy_percentage,finance_sector_big_sale_percentage,oil_sector_big_buy_percentage,oil_sector_big_sale_percentage,services_sector_big_buy_percentage,services_sector_big_sale_percentage,software_industry_big_buy_percentage,software_industry_big_sale_percentage,oil_industry_big_buy_percentage,oil_industry_big_sale_percentage,real_estate_industry_big_buy_percentage,real_estate_industry_big_sale_percentage
19,2004-03-31,0.3015312763188117,0.20138197687772758,0.3060221118570466,0.18048865706656017,0.2987262068466382,0.20641239053340088,0.30812932548290467,0.19889474227869022,0.30951503990178025,0.20613873542050337,0.3080077182826821,0.17908827785817655,0.3257459831675593,0.16402065799540932
20,2004-06-30,0.30188608171890713,0.2040298186995943,0.2943348217626662,0.1988674632673934,0.3041672685252058,0.20240502672251914,0.3090406129893021,0.20081274939411,0.308728663583947,0.2069989153393846,0.32371361905931473,0.1749969298784232,0.3067125325399777,0.18454815916697656
21,2004-09-30,0.2956189398256822,0.21375253565863359,0.28083249776428826,0.1985041055797946,0.2896894692885886,0.21604282134993547,0.3033643147008771,0.21138892525199635,0.30070878274268104,0.220462249614792,0.2754231895125366,0.2082219676721395,0.27609697455419757,0.19404928871969546
22,2004-12-31,0.31368738407880054,0.20057785101493397,0.30633544767632864,0.18488286876753177,0.3194048749604305,0.20372129014104323,0.32392453908818064,0.19620313467676623,0.33036701304443955,0.1956113199204068,0.3186269234907995,0.18928225546109975,0.3120338826995673,0.1679403369855446
23,2005-03-31,0.2957344157391826,0.2247845901615664,0.296130915259311,0.2065008606281338,0.29357703071554436,0.22464844694744843,0.3045209319857705,0.22142907625980635,0.2993435692033823,0.23203159768580328,0.3050631671726569,0.20448535892664774,0.29737395919114284,0.20523378168176412
24,2005-06-30,0.30318700062842263,0.21006194451925667,0.2972782503037667,0.1913730255164034,0.3034310710136013,0.2100334905337981,0.3156222459297741,0.20351129458694744,0.3098307364645219,0.21141127676269478,0.31596368450917345,0.1856440325326272,0.2979170313320497,0.18545422720112026
25,2005-09-30,0.292878802065702,0.21614964095102962,0.2850200253980658,0.19720132851421315,0.29954787772454283,0.21357716445104258,0.2937069717831863,0.2181227576844759,0.2982466603053435,0.21952528625954199,0.2963488124778447,0.206575682382134,0.30158730158730157,0.18086658086658086
26,2005-12-31,0.3024407348769007,0.20904393039425076,0.3008637810159596,0.1911564137534994,0.31747315305990426,0.20406909043860785,0.3070257330939557,0.21266307600239379,0.3104208998548621,0.21068214804063862,0.29469933184855235,0.20498886414253897,0.29660135252297554,0.2009710421362927
27,2006-03-31,0.30151700807117554,0.21607042966356782,0.2920039441399711,0.19940837900433397,0.30563671779887996,0.21910762113464816,0.3034284541161979,0.2159264581765095,0.30647449355955286,0.2205072916075583,0.29352640545144804,0.2010221465076661,0.29612086565945284,0.19240506329113924
28,2006-06-30,0.30098063452822416,0.2146683147919242,0.2998692462823837,0.19972076324712454,0.3031213386607384,0.22023612821822333,0.3005885842040425,0.2148788611580052,0.2909322082875802,0.22516326648558055,0.3178163351671604,0.18044858231062208,0.3009274324764074,0.19598112593556785
29,2006-09-30,0.29645722160117555,0.21973452011839728,0.2988687249587556,0.1970775394767853,0.3002420526060997,0.22220429239954817,0.296563113302379,0.22007084390407353,0.29359743170391905,0.22030407656429826,0.2982591132057324,0.20717514667692605,0.3124840872443351,0.2013069676652805
